time,page 
0,2356.121 
10,7187.078 
20,12964.849 
30,17724.613 
40,21123.093 
50,24801.943 
60,25506.858 
70,26557.547 
80,26557.547 
90,26557.547 
100,26557.547 
110,26557.547 
111,26557.547 
