time,502,200,500,302,404 
40,8.5,10.2,,5.3, 
50,29.5,10.4,0.1,5.7, 
60,23.6,9.9,0.6,4.4, 
70,36.4,14.5,3.3,4.6,0.4 
80,11,16.6,12.6,7.8,2.5 
90,0,28.1,20,13.4,14.1 
100,0,9.6,0.6,1.5,5.7 
110,0,0.2,0,0,0.1 
111,0,0,0,0,0 
