time,users,connected 
0,40,40 
10,91,48 
20,146,57 
30,189,42 
40,244,54 
50,289,47 
60,292,-9 
70,292,-28 
80,292,-42 
90,292,-131 
100,292,-71 
110,292,-7 
111,292,0 
