time,cpu@tsung_controller@ip-172-31-28-2 
0,0.9486286960180547 
10,0.5020080321285141 
20,0.5020080321285141 
30,0.5020080321285141 
40,0.5020080321285141 
50,0.5020080321285141 
60,0.4016064257028112 
70,0.4016064257028112 
80,0.3003003003003003 
90,0.2004008016032064 
100,0.2004008016032064 
110,0.2004008016032064 
120,0.2004008016032064 
130,0.2004008016032064 
140,0.20020020020020018 
150,0.20020020020020018 
160,0.10030090270812438 
170,0.10030090270812438 
180,0.10010010010010009 
190,0.10010010010010009 
200,0.10010010010010009 
210,0.10010010010010009 
220,0.10010010010010009 
230,0.10010010010010009 
240,0.10010010010010009 
250,0.10010010010010009 
260,0.10010010010010009 
270,0.0 
280,0.0 
290,0.0 
300,0.0 
310,0.0 
316,0.0 
