time,recvpackets@tsung_controller@ip-172-31-28-2 
10,332 
20,292.0 
30,384.0 
40,355.0 
50,427.0 
60,331.0 
70,258.0 
80,207.0 
90,194.0 
100,196.0 
110,154.0 
120,165.0 
130,166.0 
140,131.0 
150,150.0 
160,133.0 
170,163.0 
180,109.0 
190,143.0 
200,89.0 
210,160.0 
220,389.0 
230,482.0 
240,476.0 
250,490.0 
260,186.0 
270,97.0 
280,24.0 
290,122.0 
300,824.0 
310,1122.0 
316,270.0 
