time,502,200,500,302 
50,162,609,207,296 
60,536,697,233,357 
70,1150,880,269,410 
80,1736,1029,293,467 
90,2573,1149,308,521 
100,3301,1295,337,576 
110,4047,1440,351,631 
120,4437,1608,367,689 
130,4437,1629,379,750 
137,4437,1729,515,779 
