time,users,connected 
0,10,0 
10,10,3 
20,11,-2 
30,71,65 
40,171,102 
50,183,-4 
60,211,46 
70,223,0 
80,223,-20 
90,241,-14 
100,241,25 
110,247,42 
120,247,-95 
130,247,-12 
137,247,-136 
