time,cpu@tsung_controller@ip-172-31-25-97 
0,4.529782863849766 
10,1.3902681231380336 
20,0.8 
30,2.6052104208416833 
40,3.0 
50,1.7017017017017018 
60,2.404809619238477 
70,5.876494023904383 
80,3.1904287138584246 
90,2.197802197802198 
100,2.3046092184368736 
110,4.990019960079841 
120,4.990019960079841 
130,2.9791459781529297 
140,3.3763654419066533 
150,5.278884462151394 
160,5.858987090367428 
170,5.841584158415842 
180,2.888446215139442 
190,3.090727816550349 
200,5.5721393034825875 
210,7.41106719367589 
220,4.079601990049751 
230,3.758654797230465 
240,4.261645193260654 
250,6.974459724950884 
260,5.138339920948617 
270,3.8537549407114624 
280,5.561072492552134 
290,4.369414101290963 
300,6.896551724137931 
310,2.6 
320,2.3880597014925375 
330,2.4826216484607744 
340,3.306613226452906 
350,2.3833167825223436 
357,3.6926147704590817 
