time,sentpackets@tsung_controller@ip-172-31-25-97 
10,1159 
20,743.0 
30,4376.0 
40,4060.0 
50,2573.0 
60,3840.0 
70,4618.0 
80,3964.0 
90,2262.0 
100,2944.0 
110,3890.0 
120,3906.0 
130,3064.0 
140,2959.0 
150,4085.0 
160,4420.0 
170,4026.0 
180,3227.0 
190,3074.0 
200,4367.0 
210,3359.0 
220,3838.0 
230,2759.0 
240,3808.0 
250,3444.0 
260,3713.0 
270,2139.0 
280,5309.0 
290,3960.0 
300,3975.0 
310,3218.0 
320,3132.0 
330,2774.0 
340,4852.0 
350,2643.0 
357,4404.0 
