time,cpu@tsung_controller@ip-172-31-29-152 
0,2.789588465098765 
10,2.789588465098765 
20,2.789588465098765 
30,2.789588465098765 
40,2.789588465098765 
50,2.789588465098765 
60,2.789588465098765 
70,2.789588465098765 
80,2.789588465098765 
90,2.789588465098765 
100,2.80561122244489 
110,2.80561122244489 
120,2.80561122244489 
130,2.80561122244489 
140,2.80561122244489 
150,2.80561122244489 
160,2.80561122244489 
170,2.80561122244489 
180,3.6036036036036037 
190,3.6036036036036037 
200,3.6036036036036037 
210,3.6036036036036037 
220,3.6036036036036037 
230,3.6036036036036037 
240,3.6036036036036037 
250,3.6036036036036037 
260,3.6036036036036037 
270,3.6036036036036037 
280,3.6036036036036037 
290,3.6036036036036037 
300,3.6036036036036037 
310,3.6036036036036037 
320,3.6036036036036037 
330,3.6036036036036037 
340,3.6036036036036037 
343,3.6036036036036037 
