time,page 
0,589.617 
10,640.727 
20,924.461 
30,1180.746 
40,1220.765 
50,1549.191 
60,1553.758 
70,2419.461 
80,2741.066 
90,3124.822 
100,4862.718 
110,4862.718 
120,5456.506 
130,6619.437 
140,9279.999 
150,9735.081 
160,10705.408 
170,12310.512 
180,15352.001 
190,15958.029 
200,15958.029 
210,17294.958 
220,19226.086 
230,21508.259 
240,25361.671 
250,25361.671 
260,27111.105 
270,27112.053 
280,28537.297 
290,28537.297 
300,28588.204 
310,28588.204 
320,28588.204 
330,28588.204 
340,28588.204 
343,28588.204 
