time,cpu@tsung_controller@ip-172-31-29-152 
0,2.789588465098765 
10,2.404809619238477 
20,0.20020020020020018 
30,0.6 
40,0.4020100502512563 
50,0.5025125628140703 
60,0.6 
70,2.1105527638190953 
80,0.9018036072144289 
90,1.0030090270812437 
100,2.80561122244489 
110,1.2048192771084338 
120,1.001001001001001 
130,1.105527638190955 
140,2.0120724346076457 
150,1.6096579476861168 
160,1.105527638190955 
170,1.104417670682731 
180,3.6036036036036037 
190,1.103309929789368 
200,1.2084592145015105 
210,1.6112789526686808 
220,1.5060240963855422 
230,1.2048192771084338 
240,1.5090543259557343 
250,2.0161290322580645 
260,1.2133468149646107 
270,1.314459049544995 
280,1.6177957532861478 
290,2.320887991927346 
300,1.310483870967742 
310,1.4056224899598393 
320,1.694915254237288 
330,1.3039117352056169 
340,1.9057171514543632 
343,1.507537688442211 
