time,200,302,404 
0,7.8,2.4,0.1 
10,20.9,14.4,1 
20,25,13.4,3.7 
30,25.3,15.6,3.5 
40,28.2,14.4,3.6 
50,32.1,20.3,3.9 
60,26.3,16.3,5.2 
70,8.4,3.1,3.2 
80,3,1.3,1 
88,0.1,0,0.1 
