time,cpu@tsung_controller@ip-172-31-29-152 
0,1.7569638321543273 
10,1.7569638321543273 
20,1.7569638321543273 
30,1.7569638321543273 
40,1.7569638321543273 
50,1.7569638321543273 
60,1.7569638321543273 
70,1.7569638321543273 
80,1.7569638321543273 
90,1.7569638321543273 
100,1.7569638321543273 
110,1.7569638321543273 
120,1.7569638321543273 
130,1.7569638321543273 
140,1.7569638321543273 
150,2.4120603015075375 
160,2.4120603015075375 
170,2.710843373493976 
180,2.710843373493976 
190,2.710843373493976 
200,2.710843373493976 
210,2.710843373493976 
220,2.710843373493976 
230,2.710843373493976 
240,2.710843373493976 
250,2.710843373493976 
260,2.710843373493976 
270,2.710843373493976 
280,2.710843373493976 
290,2.710843373493976 
300,2.710843373493976 
310,2.710843373493976 
320,2.710843373493976 
330,2.710843373493976 
340,2.710843373493976 
348,2.710843373493976 
