time,page 
0,620.398 
10,699.636 
20,758.832 
30,1439.534 
40,1439.534 
50,1439.534 
60,1439.534 
70,2610.637 
80,2610.637 
90,2610.637 
100,2610.637 
110,4705.65 
120,6086.977 
130,9217.115 
140,9877.064 
150,11936.4 
160,15836.087 
170,16183.503 
180,17419.844 
190,17449.98 
200,17449.98 
210,19304.561 
220,23584.099 
230,24118.609 
240,24724.933 
250,29384.329 
260,31632.713 
270,31632.713 
280,31632.713 
290,35959.775 
300,35959.775 
310,35959.775 
320,35959.775 
330,35959.775 
340,35959.775 
348,35959.775 
