time,users,connected 
0,8,7 
10,8,-1 
20,9,3 
30,10,-5 
40,10,2 
50,13,2 
60,13,1 
70,17,4 
80,17,-2 
90,17,0 
100,22,9 
110,31,8 
120,31,-8 
130,44,24 
140,56,10 
150,74,19 
160,94,20 
170,108,11 
180,108,3 
190,125,9 
200,134,18 
210,160,25 
220,185,26 
230,203,16 
240,208,4 
250,214,2 
260,226,1 
270,226,10 
280,226,-2 
290,232,3 
300,237,-20 
310,237,-34 
320,237,-35 
330,237,-36 
340,237,-93 
348,237,-1 
