time,cpu@tsung_controller@ip-172-31-25-97 
0,2.878209022850611 
10,2.878209022850611 
20,2.878209022850611 
30,2.878209022850611 
40,2.878209022850611 
50,2.878209022850611 
60,2.878209022850611 
70,2.878209022850611 
80,2.878209022850611 
90,2.878209022850611 
100,2.878209022850611 
110,2.878209022850611 
120,2.878209022850611 
130,2.878209022850611 
140,2.878209022850611 
150,2.878209022850611 
160,2.878209022850611 
170,2.878209022850611 
180,2.878209022850611 
190,2.878209022850611 
200,2.878209022850611 
210,2.878209022850611 
220,2.878209022850611 
230,2.878209022850611 
240,2.878209022850611 
250,2.9145728643216082 
260,2.9145728643216082 
270,2.9145728643216082 
280,2.9145728643216082 
290,2.9145728643216082 
300,2.9145728643216082 
310,2.9145728643216082 
320,2.9145728643216082 
330,2.9145728643216082 
