time,sentpackets@tsung_controller@ip-172-31-30-190 
10,326 
20,307.0 
30,295.0 
40,353.0 
50,77.0 
60,23.0 
70,312.0 
80,25.0 
90,211.0 
100,267.0 
108,762.0 
